Transit,a,b,c,d,x0,model
walking,10.08041810906,1.03349061496931,25.9026621460293,0.39133321091194,-25.1302542708119,disjoint
driving,42.8891202643603,1.32506415047383,50.3518753746066,0.130479115877913,-25.1117267834046,disjoint
retail and recreation,10.904818334425,0.958711421436305,-8.38531154597058,0.0365516943761344,-20.9184258587091,piecewise
grocery and pharmacy,52.8872751344588,1.12577187717517,-0.0961577092808453,0.10544343748445,-60.1100160889912,disjoint
parks,61.6676662754052,1.4203768613256,70.8111818915059,-0.0787307050482178,-24.9134867714128,disjoint
transit stations,-2.3079510053412,0.786554850592575,-17.9641073817244,0.0399128083042982,-20.9687581058266,piecewise
workplaces,33.2629969714254,1.0667646404355,-20.9420918150473,0.0327078331595565,-52.419836516784,piecewise
residential,-6.49250512634112,-0.362290892535015,2.51545475186246,-0.00561898879186965,-16.7609880826127,disjoint
