Walking,a,b,c,d,x0,model
driving,27.0491491787219,1.23758168848979,36.6700631880749,0.47537698072186,12.6224804324907,piecewise
transit,-2.11452736973474,1.05285330029684,94.3145605137532,0.599434074160494,71.3718526978166,disjoint
retail and recreation,17.1412863942985,1.17474601579686,-12.7153542322916,0.118308186947136,-28.2616163594774,piecewise
grocery and pharmacy,56.6836798401276,1.28476530557896,1.08174453635409,0.120082957364402,-47.7400000000089,piecewise
parks,46.0351933429868,1.35628686412561,46.0351933429868,0.372712067954923,0,piecewise_fsp
transit stations,-0.376340994159114,0.910024427550344,-21.8101293665887,0.120402292978035,-27.1443611241204,piecewise
workplaces,15.0797131688709,0.914065483043151,-18.3107245045888,-0.0020430395003925,-36.4481247055232,piecewise
residential,-7.07269747814206,-0.411944291752554,3.30128439465205,-0.0259265597105692,-26.8743661538994,piecewise
