Workplaces,a,b,c,d,x0,model
walking,29.7701371524446,1.26071608466122,48.6155456905141,0.189809308269039,-16.007089116663,disjoint
driving,98.5590852020169,2.21934133821066,66.1087871416504,2.24552813266001,-31.0291121407585,disjoint
transit,34.2336890369867,1.51028410737808,67.6604405391629,-1.44471413870295,-16.4720894704283,disjoint
retail and recreation,-91.6160463138992,-0.22758788187694,-7.87456623881285,0.491173764101128,-57.0000324746595,disjoint
grocery and pharmacy,23.1016607534636,0.923055670872978,-2.12235662905239,-0.127954086197587,-9.03549935881317,disjoint
parks,-99.9999998476235,-0.600803188359961,31.7144866126781,-0.0563818482034412,-57.0127600132119,disjoint
transit stations,-11.390920876913,0.84670710011666,-7.2457079487909,0.689745589618069,-22.2513684333895,disjoint
residential,14.4663141614258,-0.202805059816671,-1.12458044337027,-0.313493950987517,-57.4017273880732,disjoint
