Residential,a,b,c,d,x0,model
walking,58.0760259890056,-3.83132341888082,-12.8710698590299,-2.38051956347979,5.04000453727841,disjoint
driving,68.1552294052254,-5.83535861602679,8.85249221536252,-2.95298667046013,5.00030080822515,disjoint
transit,72.3589043250583,1.14628301895986,-4.30646661038971,-2.94460334314907,4.06224838066584,disjoint
retail and recreation,-5.99918926900067,0.313405021528673,-7.73040843548427,-2.47267810270379,5.36049651295112,disjoint
grocery and pharmacy,7.54497335842453,2.86274134286828,15.534205859321,-2.08555539636518,0,disjoint_fsp
parks,68.7596468409013,-2.64158119360749,27.7445370608141,-3.37557288806312,5.93629269342659,disjoint
transit stations,-11.610704228803,-2.5171436472362,-63.7021565695317,-0.48093819576644,21.0000790781868,disjoint
workplaces,-13.9025848460039,-1.34223241308266,-19.6676262613441,-1.55233548634465,15.4399393451567,disjoint
