TransitStations,a,b,c,d,x0,model
walking,11.4312420564776,1.24132096156688,94.6932384020439,2.9525199737766,-27.017711124619,disjoint
driving,42.3957013513694,1.58332949388547,85.9439966536101,1.89880867992283,-27.7533328226819,disjoint
transit,40.6842678589519,1.81312468155914,99.9999999974485,0.287888561754592,-18.5821127344629,disjoint
retail and recreation,21.0909245983508,1.34462433306398,-5.39308006004774,-0.100535533984493,-18.326003414756,piecewise
grocery and pharmacy,29.271642282748,0.974524347579633,4.06853970443337,-0.0983148797220252,-11.0067668628407,disjoint
parks,70.4163912657705,1.88340129534041,65.1524849108439,0.166273685263425,-27.1524158845579,disjoint
workplaces,10.7802838189265,0.942658999439565,-4.9242220428083,0.784288179842443,-31.0113854383491,disjoint
residential,6.14576406004039,-0.291373077403507,-3.29003832691161,-0.345418826066104,-62.0768309379616,disjoint
