Parks,a,b,c,d,x0,model
walking,-22.6865382760278,0.822939210889397,15.6610293018462,0.459962013499887,6.0475945763497,disjoint
driving,-2.35212811960866,1.03867898539094,50.5135096840557,0.294092537436978,70.9999999985672,piecewise
transit,-11.3583269202254,1.06696652798135,49.6921229447097,0.103172180559202,8.23020697254734,disjoint
retail and recreation,-22.1593309966319,0.78682649216829,-15.5290211598638,0.123795508509781,10.000000000276,piecewise
grocery and pharmacy,8.35259015696042,0.775375552902874,3.33281889648483,0.0332782469324216,-6.76430330643924,piecewise
transit stations,-30.2834179161843,0.611425226314999,-13.8076416201719,-0.0144584093635374,26.3240247177108,piecewise
workplaces,-20.9810238787792,0.480968714909672,-3.68402560794921,-0.196869231474159,25.5178960739908,piecewise
residential,8.18816638274157,-0.238010874635236,-0.114366087643194,0.0118292076358176,33.2313870333154,piecewise
