Retail,a,b,c,d,x0,model
walking,-11.9186752646248,0.836062399223396,66.5345135170032,3.246187547575,-21.0010442867777,disjoint
driving,20.1123124049254,1.18993067538743,67.3189983351716,1.90313925313751,-18.0299131576584,disjoint
transit,-3.50962801261662,1.03044272315019,89.4512366860099,3.08957587979544,-13.0936035216157,disjoint
grocery and pharmacy,98.9845003332162,1.96210844152273,13.2028244853843,0.682968588247929,-90.0000000000565,disjoint
parks,51.9916902933321,1.55413897254026,80.9288679980725,5.47541770690433,-7.37952582945707,piecewise
transit stations,-10.9560631079002,0.793229952514828,-14.5807428293323,0.0495470065162343,-14.0935161744373,disjoint
workplaces,-3.32320667314734,0.670315483396219,-21.4474962021886,-0.780400293884955,-12.493342812476,piecewise
residential,-1.15969021930238,-0.336619857036364,1.84345879254432,0.0317263619429276,-14.0001319517651,disjoint
