Driving,a,b,c,d,x0,model
walking,-18.0633301255631,0.860993947584068,-2.54297788313379,0.95840534259714,28.8251191543435,disjoint
transit,-23.8891802440682,0.827762674458454,53.1781667327082,0.4533374477436,27.1438626240415,disjoint
retail and recreation,-10.5782150889719,0.899860640667899,-14.3974999038836,0.136604051910319,-5.00393297767482,piecewise
grocery and pharmacy,23.17981627951,0.92754301275659,1.64277130354079,0.0817478039601813,-25.4636639602357,piecewise
parks,7.69650758836328,0.899485951279942,91.6438209600011,0.309077973673506,86.9201798363476,disjoint
transit stations,-20.4340022465871,0.715269469039185,-25.5014630070935,0.164894364800719,-9.2072855793833,piecewise
workplaces,-4.85859113165278,0.716662373013764,-18.8320298287095,0.00150103122267686,-19.5388619050086,piecewise
residential,1.01999670875233,-0.339807693718067,6.23394021475746,-0.0716551138667588,-19.4439431046917,piecewise
