country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-15,2,2,36,9,0,-1
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-16,2,8,47,26,-1,-2
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-17,-1,2,11,7,1,-1
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-18,1,2,22,5,2,-1
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-19,-4,-1,-12,1,1,0
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-20,1,4,-3,5,1,0
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-21,1,3,6,7,0,-1
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-22,1,6,34,8,0,0
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-23,2,17,54,20,3,-2
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-24,5,19,25,2,-10,1
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-25,4,7,50,-3,-15,3
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-26,-5,1,-10,-11,-3,2
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-27,-3,3,-1,-8,0,2
IT,Italy,Abruzzo,<undefined>,<undefined>,IT-65,<undefined>,ChIJI6qUuHc1MBMR8Hw4sppPCQE,2020-02-28,-3,2,-3,-11,-1,2
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-15,8,5,27,12,2,-1
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-16,9,6,14,14,1,0
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-17,11,8,14,5,1,0
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-18,12,7,25,9,3,-1
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-19,5,7,10,3,2,0
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-20,11,4,31,8,0,-1
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-21,11,9,29,16,0,-1
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-22,9,10,33,24,2,-1
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-23,18,30,43,36,2,-3
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-24,34,39,62,19,-18,3
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-25,23,23,80,27,-18,2
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-26,0,9,7,-2,-17,6
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-27,2,3,2,-1,-14,7
IT,Italy,Aosta,<undefined>,<undefined>,IT-23,<undefined>,ChIJp_WvxdbeiEcRm9WceXyYJVY,2020-02-28,21,18,36,9,-13,4
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-15,-1,1,4,2,-1,0
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-16,3,0,73,12,-1,-1
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-17,-1,0,13,4,1,-1
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-18,0,-1,15,5,1,0
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-19,-3,-2,4,3,1,0
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-20,-3,-1,-7,2,-1,1
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-21,-1,1,5,5,0,0
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-22,-6,2,-3,4,-2,1
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-23,1,7,76,26,0,-1
IT,Italy,Apulia,<undefined>,<undefined>,IT-75,<undefined>,ChIJ3ZO5jSvkNhMRj3wk-HC6bzk,2020-02-24,2,14,28,-1,-15,2
